title,content,tokens,url
How can I apply for a Revolut Business account?,"To open a Revolut Business account, you’ll need to fill out a short online form. This should only take around 10 minutes. Make sure you get familiar with our eligibility criteria.We'll require specific documents from you and your business. For more details about each application step, take a look into the onboarding articles.Once you’ve submitted your application, you’ll join a short queue. Our team will review your application and may reach out to you to confirm a few details or, most likely, leave you a message on your application, guiding you through the required information/documentation.The time it takes to complete the application process depends on the complexity of your company and the documents uploaded. If you're unable to proceed, or you've been waiting for more than a week, please complete a support request here and we'll be happy to help you.Note: if you already have a Revolut Business account and need another one, please click here.",100,https://help.revolut.com/business/help/setting-up-an-account/creating-a-business-account
Where is Revolut Business available?,"Revolut business is currently available for companies and soletraders registered in and with a physical presence within the United States of America, European Economic Area (EEA), Switzerland and Australia. This includes the following countries and territories:Aland Islands, Australia, Austria, Belgium, Bulgaria, Croatia, Republic of Cyprus, Czech Republic, Denmark, Estonia, Finland, France, Germany, Gibraltar, Guernsey, Greece, Hungary, Iceland, Ireland, Isle of Man, Italy, Jersey, Latvia, Liechtenstein, Lithuania, Luxembourg, Malta, Mayotte, Netherlands, Norway, Poland, Portugal, Romania, Slovakia, Slovenia, Spain, Sweden, Switzerland, United Kingdom and United States.",100,https://help.revolut.com/business/help/setting-up-an-account/is-my-business-eligible/where-is-revolut-business-available
What does physical presence mean?,"Physical presence in the the EEA or Switzerland is an essential prerequisite for opening a Revolut account in the relevant region.This prerequisite involves:For businesses incorporated in the EEA or Switzerland , these requisites need to be met:The applicant needs to reside in the EEA or Switzerland One beneficial owner/director of the business needs to reside in the the EEA or SwitzerlandThe operating address of the business needs to be an address in the EEA or Switzerland In certain cases, Revolut might request from you documents to proof the fulfilment of any of the requisites above. If that is the case, in your application menu you will receive detailed instructions on what additional documents we need from you and you will be able to upload such documents directly in such application menu.If you are not able to bypass this section on your application, feel free to check with our support.In case you need to update your address, raise a request here for us to change it.",100,https://help.revolut.com/business/help/setting-up-an-account/is-my-business-eligible/what-does-physical-presence-mean
What to do if my country is not yet supported?,"If your country is not supported yet but we are working to launch our product there, we will add your application to our prioritised waiting list and will notify you when our services are available in your country.If you provided us with incorrect location, you can update your address via request here.",100,https://help.revolut.com/business/help/setting-up-an-account/is-my-business-eligible/what-can-i-do-if-my-country-is-not-supported-yet
Supported types of business,"Revolut Business account is available for the majority of legal types of business, although there are some exceptions, such as charities, public sector companies, cooperatives and more. If unclear on whether we support your company, please reach out to our support via chat.Revolut Business is available for the following types of business:Private Limited CompanyPublic Limited CompanyLimited Liability PartnershipLimited PartnershipPartnershipFreelancer or soletraderUnfortunately we can't activate Revolut Business accounts for the following business types:Public sectorCharityPrivate foundation or trustCooperativeOtherAny other businesses types, at Revolut’s discretion - see “Not supported industries"" for more information.",100,https://help.revolut.com/business/help/setting-up-an-account/is-my-business-eligible/what-types-of-business-entities-are-supported
Not supported industries,"You cannot open or hold a Revolut account if you carry out any sort of business or activity that relates to the following:Armaments, nuclear, weapons or defence manufacturersAdult entertainment/PornographyAuction housesCannabinoids (THC, CBD, CBN)Chemicals and allied products not elsewhere classified*Crowdfunding platformsCryptocurrency firms**ConsulatesDating escort servicesDiplomatic OfficesGamblingEmbassiesEquity/mutual funds and other investment fundsFake goods/counterfeit consumer productsFine art dealersFoundationsFunds (including venture capital funds)Non-profit organisationsPawnbrokersPension schemesPolitical organisations and institutionsPrecious metals & stone dealersQuasi-cash merchantsReligious organisationsRegistered and unregistered charitiesSecond-hand car dealersSecond-hand heavy construction equipment dealersSpecial Purpose Vehicle/Special Purpose Entity (SPV/SPE)Streaming companies (companies getting donations from viewers)TrustsVideo game arcadeUnregulated FX businessesUnregulated Loan businessesUnregulated Money Services businessesUnregulated Remittance business*We can not onboard any business that (please note that these restrictions apply to all countries, not only the UK):Produce, own, sell, distribute or supply original materials to produce any goods that is on UK’s Strategic Export Control Lists. You can use this page to check.Produce, own, sell, distribute or supply original materials to produce any goods that is not on the Control Lists, but a general licence is required under End-Use Controls.Sectors that may be subject to sanction such as petroleum industry - the global processes of exploration, extraction, refining, transporting (often by oil tankers and pipelines), and marketing of petroleum products.**Accepted cryptocurrency firms:Companies that use blockchain technologyCompanies that accept/pay with crypto currency**Unaccepted cryptocurrency firms:Companies that process funds to/from crypto exchangesCompanies that are related to crypto trading (e.g. an exchange, a broker, an ICO specialistBusinesses that work with client money can be accepted, but the account cannot be used to process client money (you cannot hold, exchange, transfer or manage client funds in a Revolut Business account. Client funds essentially means any money that belongs to your customers).",100,https://help.revolut.com/business/help/setting-up-an-account/is-my-business-eligible/what-industries-are-not-supported
Most frequent ineligibility reasons,"There are various reasons why you may not be able to open a Business account with Revolut.The most common ones are:Unsupported type of industryUnsupported type of business entityUnsupported business countryLack of physical presenceYour company status is not Active in the RegistryPlease note that there is a range of criteria that apply to every application and if your company doesn't fall within that criteria, your account may not be eligible.",100,https://help.revolut.com/business/help/setting-up-an-account/is-my-business-eligible/why-is-my-account-not-eligible
What if I do not have the necessary documents to set up my business account?,"Find all requirements to open a Revolut Business account here. If you're not able to provide any of the requested documents, we may not be able to onboard your company to Revolut Business. But first, go through the checklist of accepted documents on your application and look for more information about your request on our help centre.If you're a Freelancer/sole trader and you've begun (but not finished) a Company account application, and don't have the related documents available, please raise a support request so we can switch your Company account application to a Freelancer account. In this case, you won't be able to change back to a Company account unless you apply again.",100,https://help.revolut.com/business/help/setting-up-an-account/is-my-business-eligible/what-if-i-do-not-have-the-documents-you-need-for-my-business
Information required for Onboarding,"We’ll need a few bits of information about you and your business:Operating address confirmationA short description of what your business does and where (nature of business)Your intended usage for the accountVerification of your identityYour Revolut Business plan selectionAdditional information needed to open a Company account:Basic incorporation detailsBasic details about the shareholders and directors of your company. They’ll also need to carry out an identity check, or you can submit this on their behalfPower of Attorney if you are not a director or shareholder of the applying businessAlthough we prefer documents in English, we accept uploads in other languages as well. Once your application has been reviewed, we may ask you to confirm a few details about your business and, in some circumstances, to provide us with some additional documents. In such cases, you will be able to see in your application menu further instructions from one of our onboarding agents on what is required from you.If any questions, our agents are always available on chat to guide you through this process.",100,https://help.revolut.com/business/help/setting-up-an-account/onboarding/additional-information-needed-for-onboarding
Identity verification (KYC),"Revolut must follow a regulatory requirement commonly known as 'Know Your Customer’ (KYC), under which we're expected to verify the identity of its customers. Account restrictions will be in place while the verification process is in progress (mainly limiting the ability to transfer money or use a card).To carry out a quick identity check, you must be at least 18 years old, and we'll need: your name, address, a selfie and a photo of your ID. We accept any of the following:National IDPassportFull driving license (only in UK, CH, US, AU)If you're not a citizen of the country of your personal address, we'll need to ask for proof of your right to reside in such country (visa along with national passport or a residence permit)Validity requirementsIf your business is incorporated in UK, Switzerland or the rest of EEA:National ID -- valid for at least 1 month from date of applicationPassport -- valid for at least 1 month from date of applicationFull driving license -- valid for at least 1 month from date of applicationAll other documents such as visa or residence permit -- valid for at least 3 months from date of applicationIf your business is incorporated in US: all documents must be valid for at least 3 months from date of application.If your business is incorporated in Australia: Australian or New Zealand Passport (valid for at least 1 month from date of application), Driving licence (valid for at least 1 month), all other documents (valid for at least 3 months).We need a clear live photo (captured from your smartphone, i.e. not a scan) of the provided document. Make sure that the document is fully within frame, without cropped corners or watermarks. If you experience issues with the mobile app or phone, try reinstalling the app or using another smartphone.The length of the process depends on the accuracy and quality of the information you submit. You can submit your details in the request tab on your account and we'll keep you updated in case we may need more information from you. Once the request is completed, you should no longer see it in your app.If anything's unclear, or you have a question about ID verification, please raise a support request here. You can only verify your ID within the Revolut Business app; our support team won't be able to accept ID pictures.",100,https://help.revolut.com/business/help/setting-up-an-account/onboarding/identity-verification
Incorporation details,"Your company should be fully and completely incorporated to open a Revolut Business account. We will need your basic incorporation details:Registered nameLegal formAddress of registration (not required in the US)Trading nameRegistration dateincorporation numberIn certain cases, Revolut might request from you documents to proof the fulfilment of any of the requisites above. If that is the case, in your application menu you will receive detailed instructions on what additional documents we need from you and you will be able to upload such documents directly in such application menu.As a general guidance, the list of documents we can usually accept include:Registry extractArticles of IncorporationCertification of IncorporationArticles of AssociationMemorandum of AssociationAudited Annual ReportCertificate of Name Change showing date and authority that change the name (only as name change proof)Any questions? Feel free to check in with our support here.",100,https://help.revolut.com/business/help/setting-up-an-account/onboarding/incorporation-details
Proof of authority to open and manage the account,"In the case that you're not a director or beneficial owner of the applying business, we will need to confirm your right to set up and manage an account in the business’ name through one of the two methods:1. (strongly recommended) By inviting a director to do a full identity verification that will include, as a final step, a confirmation by that director of your right to open and manage the account. In your application menu, you can easily send the invitation to one of the directors of your company, who will be able to access it via email.2. Power of Attorney: this is a document containing a statement where owner/director grants the applicant ""consent to open, manage and reauthorise other users to manage the Revolut Business account"" (exact expression to be used) and where the following is also included:Name of the companySigned by a director/beneficial owner or signed by all parties authorised by the company’s by-laws to authorise representativesDated within the past three months",100,https://help.revolut.com/business/help/setting-up-an-account/onboarding/why-am-i-being-asked-to-provide-a-power-of-attorney
How much does it cost to use Revolut Business?,"You can choose the pricing plan that matches your business' needs the most. Please see our pricing and costs here.We offer different subscription plans for two types of Business accounts: companies and freelancers.With a free plan we won't charge you a monthly fee and you'd only pay for what you've used during the month.With a higher tier pricing plan you'd be able to use exclusive features and have higher allowances, which means less cost per usage.",100,https://help.revolut.com/business/help/setting-up-an-account/selecting-a-business-plan/how-much-does-it-cost-to-use-revolut-business
